idracIP,rackLabel,SerialNumber
10.243.19.152,anchorsteam,CNIVC0089D0158
10.243.19.153,anchorsteam,CNIVC0089D0108
10.243.19.155,anchorsteam,CNIVC0089D0175
10.243.19.156,anchorsteam,CNIVC0089D0067
10.243.19.157,anchorsteam,CNIVC007B60097
10.243.19.158,anchorsteam,CNIVC007B60045
10.243.19.70,eaglemonk,CNIVC007C61003
10.243.19.72,eaglemonk,CNIVC007C60108
10.243.19.74,eaglemonk,CNIVC0079T0762
10.243.19.76,eaglemonk,CNIVC007C60019
10.243.19.78,eaglemonk,CNIVC007C60001
10.243.19.80,eaglemonk,CNIVC007C60011
10.243.19.82,eaglemonk,CNIVC007AV0222
10.243.19.84,eaglemonk,CNIVC007B60073
10.243.19.198,nightshift,CNIVC008AB0902
10.243.19.199,nightshift,CNIVC0089T0173
10.243.19.200,nightshift,CNIVC0089T0080
10.243.19.201,nightshift,CNIVC0089T0148
10.243.19.202,nightshift,CNIVC008AC0029
10.243.19.203,nightshift,CNIVC007C60123
10.243.19.204,nightshift,CNIVC007C60235
10.243.19.205,nightshift,CNIVC007BK0621
10.243.19.206,nightshift,CNIVC007BK0669
10.243.19.207,nightshift,CNIVC007BB0938
10.243.19.208,nightshift,CNIVC007BN0887
10.243.19.209,nightshift,CNIVC007C60237
10.243.19.210,nightshift,CNIVC007C60231
10.243.19.211,nightshift,CNIVC007B60055
10.243.19.212,nightshift,CNIVC007B60007
10.243.61.14,tiltedbarn,CNIVC009BU0369
10.243.61.15,tiltedbarn,CNIVC009BU0389
10.243.61.16,tiltedbarn,CNIVC009BU0373
10.243.61.17,tiltedbarn,CNIVC009BU0489
10.243.19.25,enki,CNIVC007B60128
10.243.19.26,enki,CNIVC007B60018
10.243.19.27,enki,CNIVC008AA0919
10.243.19.28,enki,CNIVC008AB0701
10.243.19.29,enki,CNIVC0089R1528
10.243.19.172,enki,CNIVC0089S0949
10.243.19.173,enki,CNIVC0089R1578
10.243.19.174,enki,CNIVC0089T0736
10.243.19.175,enki,CNIVC0089R1577
10.243.19.176,enki,CNIVC0089T0205
10.243.19.177,enki,CNIVC0089T0051
10.243.19.178,enki,CNIVC008AC0232
10.243.19.179,enki,CNIVC008AC0131
10.243.19.180,enki,CNIVC008AC0285
10.243.19.160,frost,CNIVC007560041
10.243.19.161,frost,CNIVC007550052
10.243.19.162,frost,CNIVC007560034
10.243.19.163,frost,CNIVC007550129
10.243.19.164,frost,CNIVC007550030
10.243.19.165,frost,CNIVC007550116
10.243.19.166,frost,CNIVC007550092
10.243.19.167,frost,CNIVC007560045
10.243.19.168,frost,CNIVC007550050
10.243.19.169,frost,CNIVC007550167
10.243.19.171,frost,CNIVC007B60006
10.243.19.140,shipyard,CNIVC007C60098
10.243.19.141,shipyard,CNIVC007C60192
10.243.19.142,shipyard,CNIVC007C60012
10.243.19.143,shipyard,CNIVC007C60156
10.243.19.144,shipyard,CNIVC0075C0018
10.243.19.145,shipyard,CNIVC0075C0022
10.243.19.146,shipyard,CNIVC0075B0058
10.243.19.147,shipyard,CNIVC0075B0140
10.243.19.148,shipyard,CNIVC007550200
10.243.19.149,shipyard,CNIVC0075B0122
10.243.19.151,shipyard,CNIVC007B60071
10.243.19.186,founders,CNIVC007550170
10.243.19.187,founders,CNIVC007550131
10.243.19.188,founders,CNIVC007550137
10.243.19.189,founders,CNIVC007560042
10.243.19.190,founders,CNIVC007560046
10.243.19.191,founders,CNIVC007560037
10.243.19.192,founders,CNIVC007560076
10.243.19.194,founders,CNIVC007560044
10.243.19.195,founders,CNIVC007560032
10.243.19.196,founders,CNIVC007AV0166
10.243.19.132,samadams,CNIVC0089D0064
10.243.19.133,samadams,CNIVC0089D0095
10.243.19.135,samadams,CNIVC0089D0049
10.243.19.134,samadams,CNIVC0089D0060
10.243.19.136,samadams,CNIVC0089D0055
10.243.19.137,samadams,CNIVC0089D0235
10.243.19.138,samadams,CNIVC007B60065
10.243.19.139,samadams,CNIVC007B60096
10.243.19.223,summit,CNIVC0089D0221
10.243.19.224,summit,CNIVC0089D0601
10.243.19.225,summit,CNIVC0089D0094
10.243.19.226,summit,CNIVC007550145
10.243.19.227,summit,CNIVC007550060
10.243.19.228,summit,CNIVC0089D0590
10.243.19.229,summit,CNIVC0089D0600
10.243.19.230,summit,CNIVC0089D0567
10.243.19.231,summit,CNIVC0089D0587
10.243.19.232,summit,CNIVC0089D0597
10.243.19.233,summit,CNIVC007B60002
10.243.19.234,summit,CNIVC007B60098
10.243.19.181,wachusett,CNIVC007C60092
10.243.19.182,wachusett,CNIVC007C60066
10.243.19.183,wachusett,CNIVC007C60078
10.243.19.184,wachusett,CNIVC007C60234
10.243.19.185,wachusett,CNIVC007C60081
10.243.19.235,wachusett,CNIVC007B60126
10.243.19.236,wachusett,CNIVC007AV0285
10.243.19.237,wachusett,CNIVC007B60133
